02-Dec-21 22:52:30 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 206, ack 9, win 8, length 1 
02-Dec-21 22:52:30 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 207, ack 9, win 8, length 1 
02-Dec-21 22:52:30 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 208, ack 9, win 8, length 1 
02-Dec-21 22:52:39 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 9, ack 193, win 8, length 1 
02-Dec-21 22:52:40 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 9, ack 197, win 8, length 1 
02-Dec-21 22:52:41 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 9, ack 201, win 8, length 1 
02-Dec-21 22:52:42 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 9, ack 205, win 8, length 1 
02-Dec-21 22:52:43 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 9, ack 206, win 8, length 1 
02-Dec-21 22:52:44 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 9, ack 207, win 8, length 1 
02-Dec-21 22:52:45 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 9, ack 208, win 8, length 1 
02-Dec-21 22:52:46 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 9, ack 209, win 8, length 1 
